"r1","r1m","r2","r2m","r3","r4","t1","t2","t3","t3m","t4","t4m","t5","t5m","s1","s2","s2m"
0.02053,0.011179,0.10662,75.397,0.00099997,8.1235,0.099993,0.001,0.036949,0.001,0.0001,100,0.001,38.697,0.11239,99.999,1.2368
0.083058,0.1796,0.10773,0.084484,0.00099785,11.421,0.029413,0.001,0.0071217,0.0010001,0.0001,76.122,0.0010001,76.565,0.088668,99.996,0.001077
0.14465,0.25444,0.2654,99.958,0.00099957,2.3782,0.099929,0.001,0.03765,0.0010001,0.0001,99.995,0.0010001,99.569,0.069682,4.6354,0.0011357
