"r1","r1m","r2","r2m","r3","r4","t1","t2","t3","t3m","t4","t4m","t5","t5m","s1","s2","s2m"
0.0010041,24.494,0.0034649,29.67,0.00099947,50.691,0.099903,0.11192,34.052,0.53817,0.000101,11.548,0.18329,11.337,0.000122,0.56624,1.5694
0.0010022,12.169,0.83239,14.737,0.00099943,72.22,0.099922,0.09796,9.4686,0.12287,0.0001014,16.094,0.38187,71.475,0.00012098,1.8018,95.944
0.0010167,6.626,17.581,29.331,0.00099725,16.442,0.099554,0.11275,33.672,0.63339,0.00010154,4.0834,0.22259,43.808,0.00012141,0.30816,11.989
