"r1","r1m","r2","r2m","r3","r4","t1","t2","t3","t3m","t4","t4m","t5","t5m","s1","s2","s2m"
97.533,0.0010802,5.5498,4.4804,0.00094988,11.123,0.084384,0.016796,0.18933,0.0076626,0.0050321,22.454,0.0028385,2.0808,0.00015015,0.30177,12.138
92.154,0.0010484,1.688,0.32035,0.00098607,25.257,0.069983,0.020868,0.37052,0.011975,0.01791,82.076,0.0014047,1.6696,0.0001588,0.55694,14.967
98.583,0.0010013,1.8722,0.37014,0.00099615,1.6423,0.099936,0.0093167,0.0036588,0.005415,0.00056476,2.2683,0.0010212,2.3092,0.0001809,0.079627,3.2934
