"r1","r1m","r2","r2m","r3","r4","t1","t2","t3","t3m","t4","t4m","t5","t5m","s1","s2","s2m"
7.4669,27.379,0.0011056,2.0151,0.00099791,13.431,0.092241,21.44,0.44304,0.0029474,0.00010082,3.3952,0.0094514,0.86927,0.00012828,0.15669,0.14245
0.64107,2.0559,0.001002,0.35454,0.00099596,37.452,0.099855,89.857,0.55765,0.010848,0.00010157,9.1513,0.0042196,0.73429,0.00011567,0.92647,46.562
8.4923,36.225,0.0010003,0.0011057,0.00099996,68.085,0.099895,0.025057,0.81955,0.015841,0.00058539,16.702,0.0010063,0.0011304,0.00012457,0.84626,12.079
