"r1","r1m","r2","r2m","r3","r4","t1","t2","t3","t3m","t4","t4m","t5","t5m","s1","s2","s2m","s5","s5m"
0.076526,0.34164,0.84557,1.1057,0.00099769,0.4627,0.099998,0.013418,0.39525,0.003487,0.00030988,1.2661,0.001,0.067261,0.000132,0.072668,6.331,0.00104,1.3332
3.9518,16.92,1.0591,2.1163,0.00099685,8.6219,0.099463,0.021509,0.6465,0.0068606,0.0032576,15.569,0.0038199,0.0029681,0.00014896,0.11682,0.1735,0.0010746,0.001017
0.34331,0.080704,2.138,1.5775,0.0009997,0.0014451,0.099898,0.019542,0.28773,0.008717,0.00070068,2.9329,0.003322,2.2028,0.00015128,0.0029368,0.2028,45.316,9.9793
