"r1","r1m","r2","r2m","r3","r4","t1","t2","t3","t3m","t4","t4m","t5","t5m","s1","s2","s2m"
0.126,0.016663,14.744,20.532,0.00099713,4.4495,0.096467,0.0028889,0.0013016,0.0010022,0.0001004,1.084,0.0010025,0.63427,0.00015407,0.66009,47.069
1.5815,5.9914,5.0631,6.35,0.00099997,6.2186,0.099976,0.0028551,0.043713,0.001,0.00010001,1.4157,0.001,0.38659,0.00015285,0.14652,5.8386
9.5073,33.357,1.3629,1.3594,0.00099695,6.9141,0.098442,0.0026656,0.0018463,0.0010023,0.00010108,1.547,0.0010024,0.56744,0.00015081,0.1574,6.1004
